Region ID;Bundesland;Insgesamt;männlich;weiblich
1;Schleswig-Holstein;2953270;1443269;1510001
2;Hamburg;1892122;925616;966506
3;Niedersachsen;8140242;4009822;4130420
4;Bremen;684864;338233;346631
5;Nordrhein-Westfalen;18139116;8890200;9248916
6;Hessen;6391360;3151158;3240202
7;Rheinland-Pfalz;4159150;2054254;2104896
8;Baden-Württemberg;11280257;5595424;5684833
9;Bayern;13369393;6620203;6749190
10;Saarland;992666;487101;505565
11;Berlin;3755251;1843196;1912055
12;Brandenburg;2573135;1265151;1307984
13;Mecklenburg-Vorpommern;1628378;799695;828683
14;Sachsen;4086152;2010537;2075615
15;Sachsen-Anhalt;2186643;1073711;1112932
16;Thüringen;2126846;1051482;1075364
